,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.952205882353,0.879411764706,0.930065359477,0.916911764706,0.952941176471
20,0.952205882353,0.879411764706,0.930065359477,0.916911764706,0.893300653595
30,0.963970588235,0.879411764706,0.917565359477,0.916911764706,0.941830065359
40,0.963970588235,0.879411764706,0.917565359477,0.916911764706,0.894035947712
50,0.963970588235,0.918218954248,0.917565359477,0.916911764706,0.916176470588
60,0.963970588235,0.918218954248,0.917565359477,0.916911764706,0.928594771242
70,0.963970588235,0.918218954248,0.917565359477,0.916911764706,0.928594771242
80,0.963970588235,0.918218954248,0.917565359477,0.916911764706,0.953594771242
90,0.963970588235,0.918218954248,0.917565359477,0.916911764706,0.941830065359
100,0.963970588235,0.918218954248,0.965359477124,0.916911764706,0.930718954248
