,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.869090909091,0.704545454545,0.628181818182,0.571818181818,0.688181818182
20,0.844090909091,0.726363636364,0.628181818182,0.571818181818,0.731363636364
30,0.850909090909,0.706363636364,0.626363636364,0.571818181818,0.907272727273
40,0.850909090909,0.742727272727,0.626363636364,0.571818181818,0.887272727273
50,0.845909090909,0.742727272727,0.626363636364,0.571818181818,0.824090909091
60,0.845909090909,0.742727272727,0.626363636364,0.571818181818,0.739090909091
70,0.845909090909,0.742727272727,0.623181818182,0.571818181818,0.775909090909
80,0.845909090909,0.742727272727,0.623181818182,0.571818181818,0.780909090909
90,0.845909090909,0.742727272727,0.623181818182,0.571818181818,0.782727272727
100,0.845909090909,0.742727272727,0.623181818182,0.571818181818,0.639545454545
