threshold,prediction accuracy,number of selected features
0.1,0.902009803922,5
0.2,0.877385620915,6
0.3,0.877385620915,6
0.4,0.877385620915,6
0.5,0.877385620915,6
0.6,0.877385620915,6
0.7,0.928235294118,6
0.8,0.890718954248,7
0.9,0.842107843137,6
