threshold,prediction accuracy,number of selected features
0.1,0.842532542141,2
0.2,0.842532542141,2
0.3,0.842532542141,2
0.4,0.842532542141,2
0.5,0.842532542141,2
0.6,0.842532542141,2
0.7,0.842532542141,2
0.8,0.842532542141,2
0.9,0.842532542141,2
