lambda,prediction accuracy,number of selected features
0.1,0.870512820513,6
0.2,0.870512820513,6
0.3,0.870512820513,6
0.4,0.870512820513,6
0.5,0.885897435897,7
0.6,0.823076923077,6
0.7,0.821794871795,7
0.8,0.951282051282,8
0.9,0.869230769231,9
