lambda,prediction accuracy,number of selected features
0.1,0.934880952381,6
0.2,0.934880952381,6
0.3,0.934880952381,6
0.4,0.934880952381,6
0.5,0.934880952381,6
0.6,0.909047619048,7
0.7,0.897380952381,7
0.8,0.897380952381,7
0.9,0.897380952381,7
