lambda,prediction accuracy,number of selected features
0.1,0.940952380952,7
0.2,0.940952380952,7
0.3,0.940952380952,6
0.4,0.940952380952,7
0.5,0.940952380952,7
0.6,0.940952380952,7
0.7,0.940952380952,7
0.8,0.940952380952,7
0.9,0.940952380952,7
