epsilon,prediction accuracy,number of selected features
0.12,0.725065084282,1
0.11,0.778909129252,1
0.1,0.842532542141,2
0.09,0.862788952398,3
0.08,0.823310135695,4
0.07,0.881235874166,5
0.06,0.821921040767,7
0.05,0.842299402243,10
0.04,0.886107669037,13
0.03,0.910538199747,20
0.02,0.960563215382,36
0.01,0.970441264162,81
