epsilon,prediction accuracy,number of selected features
0.2,0.862857142857,2
0.19,0.911428571429,3
0.18,0.801904761905,2
0.17,0.832857142857,2
0.16,0.901428571429,4
0.15,0.881428571429,4
0.14,0.861904761905,4
0.13,0.861904761905,4
0.12,0.910952380952,5
0.11,0.922380952381,7
0.1,0.940952380952,7
0.09,0.931428571429,8
0.08,0.932380952381,10
0.07,0.941428571429,12
0.06,0.98,16
0.05,0.960476190476,22
0.04,0.970952380952,28
0.03,0.970476190476,32
0.02,0.980476190476,43
0.01,0.931428571429,61
