epsilon,prediction accuracy,number of selected features
0.19,0.600947712418,1
0.18,0.600947712418,1
0.17,0.603823529412,1
0.16,0.847107843137,2
0.15,0.865718954248,3
0.14,0.78181372549,3
0.13,0.78181372549,3
0.12,0.810424836601,3
0.11,0.783202614379,4
0.1,0.877385620915,6
0.09,0.93795751634,7
0.08,0.938692810458,8
0.07,0.91795751634,10
0.06,0.974166666667,12
0.05,0.93795751634,17
0.04,0.963888888889,21
0.03,0.93795751634,32
0.02,0.889248366013,42
0.01,0.914346405229,60
