,sfs_l21,grafting,osfs,Alpha_investing,saola
ALLAML,11,9,6,1.0,21
DLBCL,6,7,6,,16
GLIOMA,18,14,5,4.0,17
GLI_85,24,9,5,27.0,33
Lung_Cancer,10,29,9,41.0,29
Prostate_GE,6,7,4,12.0,12
SMK_CAN_187,27,7,5,6.0,10
SRBCT,17,21,8,26.0,17
TOX_171,20,30,8,45.0,22
colon,6,13,3,4.0,4
lung,10,23,10,45.0,30
lymphoma,8,39,6,1.0,13
