,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.95,0.95,0.92,0.96,0.9
20,0.85,0.89,0.83,0.96,0.86
30,0.94,0.93,0.8,0.95,0.67
40,0.93,0.98,0.62,0.93,0.84
50,0.95,0.98,0.62,0.93,0.89
60,0.95,0.97,0.62,0.93,0.88
70,0.97,0.98,0.62,0.93,0.93
80,0.97,0.98,0.7,0.93,0.89
90,0.97,0.98,0.7,0.93,0.89
100,0.97,0.98,0.7,0.93,0.89
