,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.93,0.944,0.514,0.93,0.349
20,0.93,0.928,0.514,0.926,0.349
30,0.924,0.936,0.514,0.918,0.555
40,0.943,0.945,0.596,0.911,0.557
50,0.943,0.941,0.541,0.889,0.407
60,0.963,0.982,0.541,0.925,0.41
70,0.963,0.982,0.541,0.925,0.642
80,0.99,0.983,0.541,0.925,0.642
90,1.0,0.979,0.541,0.925,0.642
100,1.0,0.973,0.781,0.931,0.517
