,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.689758179232,0.737553342817,0.7213371266,0.700711237553,0.753769559033
20,0.694879089616,0.737553342817,0.7213371266,0.700711237553,0.652204836415
30,0.759317211949,0.737553342817,0.753627311522,0.700711237553,0.695021337127
40,0.759317211949,0.737411095306,0.753627311522,0.700711237553,0.689615931721
50,0.78079658606,0.737411095306,0.737980085349,0.700711237553,0.758890469417
60,0.78079658606,0.737411095306,0.737980085349,0.700711237553,0.72759601707
70,0.78079658606,0.737411095306,0.737980085349,0.700711237553,0.748790896159
80,0.829160739687,0.737411095306,0.710810810811,0.700711237553,0.706116642959
90,0.861308677098,0.73186344239,0.710810810811,0.700711237553,0.780654338549
100,0.861308677098,0.73186344239,0.7,0.700711237553,0.780654338549
