,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.78,0.84,0.49,0.75,0.46
20,0.85,0.93,0.49,0.75,0.43
30,0.92,0.91,0.55,0.75,0.52
40,0.94,0.91,0.55,0.75,0.62
50,0.94,0.91,0.55,0.75,0.61
60,0.94,0.92,0.56,0.75,0.57
70,0.95,0.92,0.56,0.75,0.6
80,0.95,0.91,0.56,0.75,0.6
90,0.96,0.9,0.56,0.75,0.62
100,0.96,0.9,0.56,0.75,0.62
