,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.870512820513,0.869230769231,0.884615384615,0.805128205128,0.837179487179
20,0.870512820513,0.902564102564,0.884615384615,0.805128205128,0.837179487179
30,0.870512820513,0.902564102564,0.901282051282,0.805128205128,0.725641025641
40,0.870512820513,0.902564102564,0.901282051282,0.805128205128,0.885897435897
50,0.870512820513,0.902564102564,0.901282051282,0.805128205128,0.885897435897
60,0.870512820513,0.887179487179,0.901282051282,0.805128205128,0.885897435897
70,0.870512820513,0.951282051282,0.901282051282,0.805128205128,0.835897435897
80,0.870512820513,0.951282051282,0.852564102564,0.805128205128,0.869230769231
90,0.870512820513,0.951282051282,0.852564102564,0.805128205128,0.869230769231
100,0.870512820513,0.934615384615,0.852564102564,0.805128205128,0.869230769231
