,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.934880952381,0.886666666667,0.949166666667,,0.949166666667
100,0.934880952381,0.925,0.908095238095,,0.925
20,0.934880952381,0.886666666667,0.910833333333,,0.909880952381
30,0.934880952381,0.886666666667,0.910833333333,,0.911666666667
40,0.934880952381,0.886666666667,0.910833333333,,0.936666666667
50,0.934880952381,0.886666666667,0.910833333333,,0.936666666667
60,0.934880952381,0.886666666667,0.9125,,0.949166666667
70,0.934880952381,0.886666666667,0.87,,0.949166666667
80,0.934880952381,0.925,0.908095238095,,0.9625
90,0.934880952381,0.925,0.908095238095,,0.9125
