,sfs_l21,grafting,Alpha_investing,osfs,saola
orlraws10P,39,41,9.0,3,5
pixraw10P,26,24,14.0,4,8
warpPIE10P,29,28,49.0,5,3
ALLAML,11,19,1.0,6,21
GLI_85,24,9,27.0,5,33
GLIOMA,18,14,4.0,5,17
Prostate_GE,7,7,12.0,4,12
SMK_CAN_187,26,7,6.0,5,10
TOX_171,20,30,45.0,3,22
arcene,31,27,9.0,6,18
PCMAC,57,16,204.0,35,20
RELATHE,84,23,187.0,45,17
