,sfs_l21,grafting,osfs,Alpha_investing,saola
TOX_171,0.60,0.57,0.55,0.60,0.57
lymphoma,0.71,0.60,0.66,0.47,0.69
SMK_CAN_187,0.68,0.63,0.65,0.67,0.74
GLIOMA,0.64,0.42,0.60,0.41,0.58
ALLAML,0.94,0.74,0.93,0.60,0.88
GLI_85,0.79,0.85,0.85,0.80,0.88
lung,0.82,0.89,0.86,0.86,0.88
colon,0.81,0.74,0.82,0.74,0.89
Prostate_GE,0.88,0.88,0.90,0.94,0.91
Lung_Cancer,0.86,0.88,0.88,0.88,0.85
SRBCT,0.88,0.76,0.86,0.88,0.89
DLBCL,0.78,0.86,0.89,,0.84
