epsilon,prediction accuracy,number of selected features
0.2,0.890476190476,2
0.19,0.918095238095,3
0.18,0.888571428571,3
0.17,0.931428571429,4
0.16,0.874285714286,4
0.15,0.888571428571,5
0.14,0.917142857143,5
0.13,0.90380952381,7
0.12,0.945714285714,6
0.11,0.973333333333,9
0.1,1.0,11
0.09,0.985714285714,11
0.08,0.888571428571,13
0.07,0.942857142857,17
0.06,0.971428571429,20
0.05,0.94380952381,22
0.04,0.958095238095,27
0.03,0.957142857143,28
0.02,0.957142857143,38
0.01,0.957142857143,51
